ExpNum AgentType UtilType GenType Alpha Voters Candidates Iterations Experiments Borda_borda Borda_copeland Borda_plurality Borda_stv Condorcet Cond_borda Cond_copeland Cond_plurality Cond_stv
1 BestResponseAgent linear_util impartial_culture None 9 7 500 1000 1.0 0.9818431246080813 0.9137911838977417 0.9564155680301943 True 0.8360655737704918 1.0 0.5380029806259314 0.8211624441132638
2 BestResponseAgent linear_util impartial_culture None 9 3 500 1000 1.0 0.992395454545454 0.9715687645687636 0.9884621212121206 True 0.9229934924078091 1.0 0.8058568329718004 0.9566160520607375
3 BestResponseAgent exp_util impartial_culture None 9 7 500 1000 1.0 0.9836128067294898 0.9238815988617249 0.9581693288263995 True 0.8487518355359766 1.0 0.5756240822320118 0.8091042584434655
4 BestResponseAgent exp_util impartial_culture None 9 3 500 1000 1.0 0.9930787878787872 0.9741407925407913 0.9889242424242417 True 0.91792656587473 1.0 0.8077753779697624 0.9665226781857451
5 BestResponseAgent log_util impartial_culture None 9 7 500 1000 1.0 0.9827545703990768 0.9192314171571996 0.9570407322198667 False 0.8355957767722474 1.0 0.5595776772247361 0.8295625942684767
6 BestResponseAgent log_util impartial_culture None 9 3 500 1000 1.0 0.9922106060606053 0.9707638694638687 0.9876318181818172 True 0.9102844638949672 1.0 0.8085339168490153 0.9595185995623632
13 BestResponseAgent linear_util polya_eggenberger 0.1 9 7 500 1000 1.0 0.9777796032156661 0.9298795068234634 0.9500338634159974 True 0.8019390581717452 1.0 0.739612188365651 0.8739612188365651
14 BestResponseAgent linear_util polya_eggenberger 0.1 9 3 500 1000 1.0 0.9891643356643351 0.9744805361305359 0.9845461538461533 True 0.9165775401069519 1.0 0.8748663101604278 0.9636363636363636
15 BestResponseAgent exp_util polya_eggenberger 0.1 9 7 500 1000 1.0 0.9787098124376459 0.9230282863169988 0.9494069456397477 True 0.8114754098360656 1.0 0.6953551912568307 0.8688524590163934
16 BestResponseAgent exp_util polya_eggenberger 0.1 9 3 500 1000 1.0 0.9893653846153838 0.9735974358974349 0.9872699300699291 True 0.9217577706323687 1.0 0.8563772775991425 0.9635584137191854
17 BestResponseAgent log_util polya_eggenberger 0.1 9 7 500 1000 1.0 0.9778266129736758 0.9290214852796627 0.9498211259145417 True 0.8201936376210235 1.0 0.73582295988935 0.8686030428769018
18 BestResponseAgent log_util polya_eggenberger 0.1 9 3 500 1000 1.0 0.9890572261072259 0.9785304195804191 0.986407226107226 True 0.920042643923241 1.0 0.8805970149253731 0.9776119402985075
25 PragmatistAgent linear_util impartial_culture None 9 7 500 1000 1.0 0.9844737767706246 0.9200470912609041 0.9578269662689914 True 0.8552238805970149 1.0 0.5746268656716418 0.8328358208955224
26 PragmatistAgent linear_util impartial_culture None 9 3 500 1000 1.0 0.9922639860139851 0.9732578088578081 0.9871245920745912 True 0.9186813186813186 1.0 0.8175824175824176 0.9560439560439561
27 PragmatistAgent exp_util impartial_culture None 9 7 500 1000 1.0 0.9827671460585627 0.9288819715785491 0.9599801575166111 True 0.8409090909090909 1.0 0.6045454545454545 0.8424242424242424
28 PragmatistAgent exp_util impartial_culture None 9 3 500 1000 1.0 0.9926079254079248 0.9757849650349646 0.9889064102564095 True 0.9229098805646037 1.0 0.8327904451682954 0.9619978284473398
29 PragmatistAgent log_util impartial_culture None 9 7 500 1000 1.0 0.9857928757724923 0.9203764213089994 0.9582673502541028 True 0.8510324483775811 1.0 0.5737463126843658 0.8112094395280236
30 PragmatistAgent log_util impartial_culture None 9 3 500 1000 1.0 0.9914848484848476 0.9755290209790202 0.9873181818181809 True 0.9299781181619255 1.0 0.8326039387308534 0.962800875273523
37 PragmatistAgent linear_util polya_eggenberger 0.1 9 7 500 1000 1.0 0.9773054974385775 0.9296405254562359 0.9506051456091034 True 0.8052631578947368 1.0 0.7302631578947368 0.8657894736842106
38 PragmatistAgent linear_util polya_eggenberger 0.1 9 3 500 1000 1.0 0.9890949883449881 0.9764722610722608 0.9840995337995337 True 0.9121114683815649 1.0 0.872454448017149 0.9646302250803859
39 PragmatistAgent exp_util polya_eggenberger 0.1 9 7 500 1000 1.0 0.9796009166149787 0.9348953723138183 0.9506875257112873 True 0.8169398907103825 1.0 0.744535519125683 0.8756830601092896
