ExpNum ExpRep UtilType GenType Alpha Voters Candidates Iterations Borda_borda Borda_copeland Borda_plurality Borda_stv Condorcet Cond_borda Cond_copeland Cond_plurality Cond_stv
1 0 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 1.0 0.8947368421052632 False False False False False
1 1 linear_util impartial_culture 0.1 7 9 400 1.0 0.9444444444444444 0.8888888888888888 0.6388888888888888 False False False False False
1 2 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 0.7560975609756098 1.0 True True True False True
1 3 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 0.7105263157894737 0.8947368421052632 False False False False False
1 4 linear_util impartial_culture 0.1 7 9 400 1.0 0.918918918918919 0.6486486486486487 1.0 True False True False False
1 5 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 0.9705882352941176 0.7647058823529411 False False False False False
1 6 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 0.717948717948718 1.0 True True True False True
1 7 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 0.8421052631578947 1.0 True True True False True
1 8 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 1.0 1.0 True True True True True
1 9 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 0.6666666666666666 0.9090909090909091 False False False False False
1 10 linear_util impartial_culture 0.1 7 9 400 1.0 0.9285714285714286 0.9285714285714286 0.9047619047619048 False False False False False
1 11 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 0.8421052631578947 1.0 True True True False True
1 12 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 0.7352941176470589 0.9117647058823529 False False False False False
1 13 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 1.0 1.0 True True True True True
1 14 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 1.0 1.0 False False False False False
1 15 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 1.0 1.0 True True True True True
1 16 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 1.0 1.0 True True True True True
1 17 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 1.0 1.0 True True True True True
1 18 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 1.0 1.0 True True True True True
1 19 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 1.0 0.8 False False False False False
1 20 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 1.0 1.0 True True True False True
1 21 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 0.825 1.0 True True True False True
1 22 linear_util impartial_culture 0.1 7 9 400 1.0 0.9736842105263158 0.9736842105263158 0.9736842105263158 True False True True True
1 23 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 0.4883720930232558 1.0 True True True False True
1 24 linear_util impartial_culture 0.1 7 9 400 1.0 1.0 0.9117647058823529 0.9411764705882353 True True True False False
